X,Y,Z,MaximumInscribedSphereRadius
27.2347164154,7.29839134216,40.1323051453,2.49528973939
27.315952301,7.30126953125,40.0737609863,2.49757419033
27.3960342407,7.30778837204,40.0140800476,2.49985864127
27.4759578705,7.31921625137,39.9550628662,2.50137392183
27.5542583466,7.32733535767,39.8933601379,2.50284745752
27.6321392059,7.33950614929,39.8319892883,2.50332983115
27.7195396423,7.36205291748,39.7883224487,2.49818880695
27.8054695129,7.3811378479,39.7409934998,2.4938210143
27.8889579773,7.40304994583,39.6903495789,2.49192393163
27.9746265411,7.42871999741,39.6455726624,2.48878597262
28.0624160767,7.4554643631,39.6052513123,2.48518549907
28.1488323212,7.4790186882,39.5609169006,2.48158502553
28.2329311371,7.50095272064,39.511428833,2.48098666837
28.3181400299,7.52818107605,39.4664077759,2.48132196789
28.4025268555,7.55294466019,39.4188537598,2.48165763157
28.4855861664,7.57495832443,39.367603302,2.48315309024
28.5685062408,7.60046386719,39.3177108765,2.4847935302
28.6510295868,7.62859773636,39.2685585022,2.48752021901
28.7321510315,7.65330505371,39.2154998779,2.49111294759
28.8130283356,7.67865419388,39.1623039246,2.49530967157
28.892578125,7.70900058746,39.1097984314,2.49889555271
28.9752311707,7.73879051208,39.0619277954,2.50120932943
29.0573062897,7.771027565,39.0146408081,2.50499093098
29.1374053955,7.80396842957,38.9646263123,2.50930820574
29.219783783,7.83757162094,38.9188537598,2.51116028665
29.3013706207,7.87390565872,38.8738212585,2.51461242246
29.3819026947,7.91219806671,38.828414917,2.51860489553
29.4616336823,7.94966745377,38.780960083,2.52361799798
29.5400791168,7.98656511307,38.7310142517,2.52869102538
29.6198406219,8.02541065216,38.6849937439,2.53367566456
29.7000732422,8.0690202713,38.6442146301,2.53663953928
29.7814865112,8.11430740356,38.6077346802,2.53853408147
29.8642120361,8.15773105621,38.571849823,2.54297731201
29.9447879791,8.20222759247,38.532699585,2.54789789342
30.0266952515,8.24727725983,38.4969520569,2.55102052436
30.1069755554,8.29519748688,38.461227417,2.55428099727
30.1856117249,8.34677886963,38.4270858765,2.55727396965
30.2656040192,8.39787483215,38.3953399658,2.55961011109
30.3434085846,8.45022106171,38.3605041504,2.56322553172
30.4217071533,8.50465869904,38.3305778503,2.56289376876
30.496969223,8.56017684937,38.29529953,2.55896896548
30.5705604553,8.61396884918,38.2541160583,2.55762247578
30.6425437927,8.66896438599,38.2115478516,2.55702394749
30.7163257599,8.72267627716,38.1705741882,2.55620194372
30.7890453339,8.77656364441,38.1280403137,2.55644759631
30.8614406586,8.83450126648,38.090461731,2.55735801695
30.9345626831,8.89329528809,38.0554580688,2.55826843758
31.0083408356,8.95139312744,38.020942688,2.55947799831
31.0820522308,9.00881671906,37.9851837158,2.56032873197
31.1564121246,9.06493663788,37.9486846924,2.56144720665
31.2277927399,9.12507915497,37.9127082825,2.56270831689
31.2984790802,9.18735790253,37.879108429,2.56205421161
